SPEED,acceleration,label
2.440665,2.440665,1
2.6908805,0.2502155,0
3.2813637,0.5904832,0
5.276245,1.9948813,1
8.313386,3.037141,1
8.313386,0,0
9.653963,1.340577,0
10.128877,0.474914,0
15.0123005,4.8834235,1
17.59978,2.5874795,1
16.72646,-0.87332,0
16.162352,-0.564108,0
13.639359,-2.522993,2
11.588375,-2.050984,2
9.75817,-1.830205,2
9.607816,-0.150354,0
10.108919,0.501103,0
10.631707,0.522788,0
11.601443,0.969736,0
13.720444,2.119001,1
13.692009,-0.028435,0
11.66824,-2.023769,2
8.620446,-3.047794,2
9.573469,0.953023,0
11.335113,1.761644,1
11.66521,0.330097,0
11.737715,0.072505,0
10.987603,-0.750112,0
12.787441,1.799838,1
26.028522,13.241081,1
26.028522,0,5
28.7721,2.743578,1
30.935802,2.163702,1
34.071903,3.136101,1
36.38716,2.315257,1
38.523636,2.136476,1
40.420242,1.896606,1
42.724354,2.304112,1
47.11474,4.390386,1
47.11474,0,5
47.98786,0.87312,5
47.502586,-0.485274,5
45.841175,-1.661411,5
44.443455,-1.39772,5
41.55408,-2.889375,2
32.793236,-8.760844,4
23.394672,-9.398564,4
23.394672,0,5
17.060423,-6.334249,2
12.549826,-4.510597,2
9.336592,-3.213234,2
9.791802,0.45521,0
12.836029,3.044227,1
16.651701,3.815672,1
18.846928,2.195227,1
18.71405,-0.132878,0
17.847258,-0.866792,0
16.228798,-1.61846,2
16.228798,0,0
16.642069,0.413271,0
18.138939,1.49687,1
19.25138,1.112441,0
14.895753,-4.355627,2
8.46082,-6.434933,2
1.8699402,-6.5908798,4
1.8699402,0,0
0,-1.8699402,0
