average_speed,maximum_speed,minimum_speed,acceleration_rates
16.992044,16.992044,16.992044,0.0
8.856381,8.856381,8.856381,0.0
8.8734085,8.890436,8.856381,0.5
4.5286542999999995,7.0885563,1.9687523,0.0
0.91668645,1.9963385,0.0,0.25
16.8172134,23.266804,10.211657,1.0
22.962243199999996,24.032784,21.731752,0.6
26.557163,26.557163,26.557163,0.25
28.738999999999997,29.606125,27.571718,1.0
31.061625,31.061625,31.061625,0.25
32.0797443,33.37654,30.613955,0.4
27.672325,27.672325,27.672325,0.0
27.672325,27.672325,27.672325,0.0
18.501288,23.75531,13.283609,0.0
10.968631333333335,12.020708,9.85347,0.0
6.063726,7.151516,4.975936,0.0
4.082993433333333,4.6542983,3.61411,0.6666666666666666
6.9148555,6.9148555,6.9148555,0.25
6.885227566666667,7.1590652,6.581762,0.3333333333333333
4.404446,4.404446,4.404446,0.0
2.8927302,3.6265826,2.1588778,0.0
0.0,0.0,0.0,0.0
3.7886295,3.7886295,3.7886295,0.25
5.763781019354838,7.083074,3.7886295,0.5806451612903226
8.326042,8.326042,8.326042,0.25
8.482959766666665,9.575228,7.1145673,0.3333333333333333
8.913945,8.913945,8.913945,0.25
8.193352749999999,8.345131,8.0415745,0.0
6.1082454,6.1082454,6.1082454,0.0
5.1468315875,6.8727427,3.4776251,0.375
5.350354,5.350354,5.350354,0.25
5.8618849428571425,6.93656,4.1905856,0.2857142857142857
1.8754148,1.8754148,1.8754148,0.0
0.45823704545454547,1.8754148,0.0,0.0
3.087771,3.087771,3.087771,0.25
4.6413174,4.6413174,4.6413174,0.25
6.5497127,6.5497127,6.5497127,0.25
2.1103638713333335,6.962446,0.0,0.2
4.9104595,4.9104595,4.9104595,0.25
2.7897752857142857,5.0449343,1.3052442,0.5714285714285714
7.7069664,7.7069664,7.7069664,0.25
5.784825,5.784825,5.784825,0.0
8.264613937499998,9.898706,6.2542057,0.4375
8.209614,8.209614,8.209614,0.25
8.1333065,8.1333065,8.1333065,0.0
3.8807135,3.8807135,3.8807135,0.0
0.325009132,4.0502486,0.0,0.04
2.440665,2.440665,2.440665,0.25
2.9861221000000002,3.2813637,2.6908805,1.0
6.7948155,8.313386,5.276245,1.0
9.365408666666665,10.128877,8.313386,0.6666666666666666
16.30604025,17.59978,15.0123005,1.0
16.444406,16.72646,16.162352,0.0
11.661968,13.639359,9.75817,0.0
10.487471249999999,11.601443,9.607816,0.75
13.720444,13.720444,13.720444,0.25
13.692009,13.692009,13.692009,0.0
10.144343,11.66824,8.620446,0.0
9.573469,9.573469,9.573469,0.25
11.335113,11.335113,11.335113,0.25
11.463509333333334,11.737715,10.987603,0.6666666666666666
19.407981499999998,26.028522,12.787441,1.0
26.028522,26.028522,26.028522,0.0
37.368742125,47.11474,28.7721,1.0
46.5779632,47.98786,44.443455,0.2
41.55408,41.55408,41.55408,0.0
28.093954,32.793236,23.394672,0.0
23.394672,23.394672,23.394672,0.0
12.982280333333334,17.060423,9.336592,0.0
9.791802,9.791802,9.791802,0.25
16.111552666666665,18.846928,12.836029,1.0
18.280654,18.71405,17.847258,0.0
16.228798,16.228798,16.228798,0.0
16.435433500000002,16.642069,16.228798,0.5
18.138939,18.138939,18.138939,0.25
19.25138,19.25138,19.25138,0.25
11.678286499999999,14.895753,8.46082,0.0
1.8699402,1.8699402,1.8699402,0.0
0.35122825142857145,1.8699402,0.0,0.14285714285714285
