,SPEED
2006,-0.5814039999999991
2007,-3.911715000000001
2008,-1.809581999999999
2009,-1.3652484000000005
2010,-0.47325090000000003
2013,-0.741093499999999
2014,-0.9759505000000006
2017,-0.6163959999999999
2018,-0.5436297000000003
2019,-0.6089403000000004
2020,-0.6692929999999997
2021,-0.6849772999999999
2022,-0.9526544000000001
2023,-2.1192083
2025,-1.6774296
2026,-0.6965314
2035,-2.0464764
2090,-0.78254046
2091,-0.457755705
2092,-0.030690654999999997
2093,-0.09268558
2103,-0.16360864
2120,-0.6321259999999995
2121,-1.6772840000000002
2122,-1.3949859999999994
2126,-0.03233900000000034
2128,-1.5222569999999997
2129,-0.3470460000000024
2142,-0.3043789999999973
2143,-0.5072150000000022
2144,-0.6872989999999994
2145,-1.0857060000000018
2146,-2.720205
2147,-1.0336149999999975
2148,-2.427334000000002
2149,-2.349111999999998
2150,-2.5079920000000016
2151,-0.5530180000000016
2180,-2.233428999999994
2181,-3.930398000000004
2182,-5.379123
2184,-4.035102999999999
2185,-2.4763540000000006
2186,-3.3129830000000027
2187,-4.0675429999999935
2188,-1.2025800000000046
2195,-0.6180300000000045
2196,-0.34037999999999613
2197,-0.2172740000000033
2198,-0.16284999999999883
2207,-0.7956730000000007
2208,-0.4753129999999999
2209,-0.4354900000000015
2210,-1.2014250000000004
2211,-2.3945129999999963
2212,-2.1307620000000043
2213,-2.852154999999996
2214,-5.1299180000000035
2216,-3.282484
2217,-4.462050999999999
2218,-1.958513
2219,-4.657601
2221,-2.817188
2222,-4.346644
2223,-4.1531192
2224,-3.3994868
2235,-0.015250000000001762
2236,-0.9389959999999995
2238,-4.695316000000002
2239,-2.7089730000000003
2240,-0.026534999999999087
2260,-0.4560640000000049
2265,-0.144207999999999
2266,-0.8061300000000031
2267,-0.7704219999999964
2268,-1.9076730000000026
2270,-0.3819429999999997
2271,-1.1059259999999966
2272,-1.9338660000000019
2273,-0.7938100000000006
2274,-0.6998570000000015
2275,-3.899363000000001
2277,-0.04786399999999702
2284,-0.13156099999999782
2285,-1.283341
2286,-1.5108869999999968
2287,-1.4270400000000052
2288,-0.16281499999999482
2289,-0.328716
2290,-1.240361
2291,-3.350557000000002
2292,-2.3963050000000017
2296,-0.8947779999999987
2303,-0.528378
2307,-1.5312669999999962
2308,-2.8282239999999987
2309,-2.6346890000000016
2310,-2.5614969999999992
2311,-9.727735000000001
2313,-5.556128
2314,-7.75449
2316,-1.4667901
2330,-0.234178
2331,-3.299558000000001
2332,-1.9739299999999993
2333,-2.0946879999999997
2334,-2.2853640000000013
2335,-3.3968514999999986
2337,-0.023185500000000303
2338,-1.9720360000000001
2339,-2.105048
2359,-1.5926550000000006
2361,-0.2690320000000028
2371,-0.32802599999999416
2372,-0.8927730000000054
2373,-2.0941079999999985
2375,-0.2653699999999972
2376,-0.018711000000003253
2378,-0.3788029999999978
2379,-1.476345000000002
2381,-0.42936699999999917
2384,-0.22200800000000243
2385,-0.8990859999999969
2387,-0.17374400000000634
2388,-0.05380199999999746
2391,-0.0632359999999963
2392,-1.0374000000000052
2393,-1.069556999999996
2394,-0.3883550000000042
2402,-2.6674919999999958
2404,-0.10682500000000061
2407,-1.845604999999999
2409,-1.621547999999997
2410,-1.5881370000000032
2411,-1.6098339999999993
2412,-0.6099159999999983
2413,-1.6898199999999974
2414,-8.442234000000003
2416,-5.510859
2417,-3.852064000000002
2418,-1.614493999999997
2419,-0.40775500000000164
2420,-1.2161539999999995
2422,-0.4993610000000004
2424,-0.31378500000000287
2427,-0.06753300000000095
2435,-0.8460140000000003
2436,-4.806459
2437,-4.195163000000001
2438,-1.9833559999999988
2456,-0.3667790000000011
2457,-0.4804680000000019
2458,-0.09397200000000083
2459,-1.2969079999999948
2460,-1.2456069999999997
2461,-0.5625690000000034
2463,-0.8610639999999989
2464,-3.6474959999999967
2465,-6.5233740000000004
2467,-0.9650980000000011
2468,-2.292480000000001
2469,-0.7291469999999975
2471,-0.751809999999999
2482,-0.012990000000002055
2483,-0.8462770000000006
2484,-0.9227860000000021
2485,-2.377780999999999
2486,-5.507068999999994
2487,-5.936005000000005
2488,-4.418728999999999
2489,-4.370467999999999
2490,-4.065193000000001
2491,-3.2152469999999997
2492,-3.6011413
2493,-7.4033637
2523,-0.20664000000000016
2524,-2.2491470000000007
2526,-1.243829999999999
2527,-0.5646169999999984
2528,-0.15547200000000316
2531,-0.5491680000000017
2543,-2.4934340000000006
2544,-5.064515999999998
2545,-6.171130000000002
2546,-3.5584799999999994
2547,-3.6895029999999984
2548,-2.0145000000000017
2550,-0.8815790000000021
2551,-1.601628999999999
2553,-0.8064710000000019
2555,-0.6444290000000024
2562,-1.9426249999999996
2563,-2.7884600000000006
2564,-7.3745294999999995
2566,-5.857545499999999
2567,-3.496776
2620,-0.5627100000000027
2621,-1.3185769999999977
2622,-1.279198000000001
2623,-0.31692200000000526
2626,-1.5133950000000027
2627,-2.9504889999999975
2628,-4.7464490000000055
2629,-3.6442239999999977
2630,-3.667577999999999
2631,-9.175792000000001
2633,-3.4462399999999995
2634,-2.944360999999999
2635,-2.763166
2636,-2.7318930000000003
2637,-6.2685348
2639,-0.7763782
2686,-0.5071070000000049
2688,-0.5603289999999959
2689,-2.1135640000000038
2690,-1.2144019999999998
2694,-0.04274799999999601
2695,-0.7927269999999993
2696,-1.3967640000000046
2697,-2.2777460000000005
2698,-1.4711629999999971
2699,-0.27173700000000167
2701,-0.46592700000000065
2702,-1.2155039999999993
2703,-3.3680780000000006
2704,-2.309927000000002
2705,-4.362036
2706,-4.208803
2707,-3.665364499999999
2708,-3.1465130000000006
2709,-9.8157625
2736,-0.8434089999999994
2748,-0.03860200000000091
2753,-0.7416930000000015
2754,-0.9069900000000004
2755,-4.835072999999998
2757,-4.136698000000003
2758,-4.160739999999999
2759,-3.59281
2760,-4.607762500000001
2761,-3.2067741999999995
2762,-3.1150093
2807,-0.08662800000000104
2808,-1.4658829999999998
2810,-0.37648800000000016
2811,-4.121115999999999
2812,-4.753367000000001
2814,-6.400058
2847,-0.04974500000000148
2848,-0.8867569999999958
2849,-0.4517020000000045
2851,-0.020679000000001224
2855,-0.44115099999999785
2856,-0.3534890000000033
2857,-0.46666299999999694
2858,-1.724094000000001
2860,-1.023933999999997
2861,-2.3336120000000022
2862,-3.7186069999999987
2863,-2.906689
2864,-6.646197999999998
2866,-3.4660280000000014
2867,-3.178656
2868,-3.618336000000003
2869,-3.9117849999999983
2870,-3.8489010000000015
2871,-4.308335999999999
2892,-2.425734999999996
2893,-5.166653000000004
2894,-0.8987270000000009
2908,-0.7097660000000019
2910,-1.802154999999999
2911,-0.3881720000000044
2912,-1.9918029999999973
2913,-0.8416300000000021
2914,-0.6652099999999947
2915,-0.9446300000000036
2916,-0.844610000000003
2917,-4.744183
2919,-8.936652999999996
2920,-9.546559000000002
2921,-5.0218869999999995
2922,-2.757384
2923,-1.8175729999999994
2924,-0.1046099999999992
2932,-2.3115500000000004
2933,-3.0426439999999992
2934,-1.8799899999999994
2935,-2.211539
2936,-4.20578
2938,-1.5275581999999996
2939,-1.5571418000000001
2940,-4.075933
2973,-0.8325659999999999
2983,-0.1317479999999982
2987,-0.7190590000000014
2988,-2.265073000000001
2990,-0.5443940000000005
2991,-1.697925999999999
2992,-0.6730499999999999
2999,-0.06270200000000159
3000,-7.5531789999999965
3002,-4.005770000000002
3003,-3.3900129999999997
3004,-3.4966609999999996
3005,-3.014833000000001
3006,-2.4624489999999994
3007,-3.4550769999999993
3009,-2.7262210000000007
3010,-5.86412
3062,-0.8758780000000002
3063,-0.6561000000000021
3064,-0.4414999999999978
3065,-0.22460800000000347
3066,-0.951742000000003
3067,-6.661592999999996
3068,-7.443671999999999
3069,-4.515250999999999
3070,-1.070007000000004
3072,-0.937184000000002
3082,-0.11088500000000323
3083,-0.5719180000000037
3092,-0.6139220000000023
3093,-0.5821759999999969
3094,-0.13583000000000567
3095,-1.0522189999999938
3096,-1.854485000000004
3097,-0.9704550000000012
3098,-2.9526599999999945
3099,-2.7176550000000006
3100,-3.479801000000002
3101,-2.1549300000000002
3102,-8.316374
3104,-3.7319010000000006
3105,-2.7370444999999997
3106,-3.1803525000000015
3107,-2.736509
3108,-1.5642679999999993
3109,-6.8433
3157,-0.9330750000000005
3158,-2.431511999999999
3159,-0.6300575000000004
3175,-0.12476999999999805
3176,-0.4664240000000035
3177,-3.0204279999999954
3178,-2.002132000000003
3179,-2.374138000000002
3180,-1.2125249999999994
3181,-0.9443229999999971
3182,-1.1972939999999994
3183,-0.5964890000000018
3190,-0.0569279999999992
3207,-0.5263939999999963
3208,-0.5843820000000051
3216,-0.41276599999999775
3217,-1.2326660000000018
3218,-4.523664000000004
3220,-1.1394869999999955
3221,-2.969982999999999
3222,-1.274042999999999
3223,-3.215992
3224,-4.815515000000005
3225,-2.064574999999998
3226,-2.8779450000000004
3227,-5.3760200000000005
3228,-6.049154999999999
3229,-4.247183
3230,-4.461977000000001
3231,-2.4046854
3232,-5.7570596
3296,-1.1238209999999995
3297,-7.194034000000002
3299,-1.8957599999999992
3300,-5.967842
3301,-1.3860409999999996
3302,-0.909103
3303,-0.6786720000000006
3304,-1.1744631999999995
3306,-3.0058098
3308,-0.06902276
3311,-3.4030788
3314,-2.1922777
3322,-1.5671689999999998
3323,-2.5556459999999994
3333,-0.12113300000000038
3334,-0.31839300000000037
3336,-0.17556199999999933
3341,-0.7077060000000017
3342,-1.2048380000000023
3344,-0.48873100000000136
3348,-1.750678999999998
3349,-0.7086370000000031
3350,-0.17217000000000127
3351,-3.2197299999999984
3352,-3.1849169999999987
3354,-3.376683
3355,-1.7407450000000004
3356,-0.6493390000000012
3357,-2.776802
