,acceleration,SPEED,Frequency
232,-2.9,7.0,4.28431025603895e-06
233,-2.9,22.0,4.2843102560389494e-07
234,-2.9,24.0,4.2843102560389494e-07
235,-2.9,29.0,4.2843102560389494e-07
236,-2.9,30.0,4.2843102560389494e-07
237,-2.8,1.0,7.411856742947382e-05
238,-2.8,2.0,0.0001105352046058049
239,-2.8,3.0,1.542351692174022e-05
240,-2.8,4.0,5.569603332850634e-06
241,-2.8,5.0,2.9990171792272646e-06
242,-2.8,6.0,7.71175846087011e-06
243,-2.8,7.0,4.28431025603895e-06
244,-2.8,20.0,4.2843102560389494e-07
245,-2.8,22.0,4.2843102560389494e-07
246,-2.8,23.0,4.2843102560389494e-07
247,-2.8,28.0,4.2843102560389494e-07
248,-2.8,32.0,4.2843102560389494e-07
249,-2.7,1.0,6.81205330710193e-05
250,-2.7,2.0,8.954208435121405e-05
251,-2.7,3.0,1.9279396152175272e-05
252,-2.7,4.0,4.28431025603895e-06
253,-2.7,5.0,5.569603332850634e-06
254,-2.7,6.0,3.855879230435055e-06
255,-2.7,7.0,8.568620512077899e-07
256,-2.7,9.0,4.2843102560389494e-07
257,-2.7,29.0,4.2843102560389494e-07
258,-2.7,31.0,4.2843102560389494e-07
259,-2.7,44.0,4.2843102560389494e-07
260,-2.6,1.0,7.925973973672056e-05
261,-2.6,2.0,0.0001113920666570127
262,-2.6,3.0,1.6708809998551905e-05
263,-2.6,4.0,3.4274482048311595e-06
264,-2.6,5.0,5.569603332850634e-06
265,-2.6,6.0,7.283327435266214e-06
266,-2.6,7.0,4.28431025603895e-06
267,-2.6,14.0,4.2843102560389494e-07
268,-2.6,24.0,4.2843102560389494e-07
269,-2.6,25.0,4.2843102560389494e-07
270,-2.6,26.0,4.2843102560389494e-07
271,-2.6,28.0,4.2843102560389494e-07
272,-2.6,30.0,4.2843102560389494e-07
273,-2.6,32.0,1.2852930768116849e-06
274,-2.6,34.0,4.2843102560389494e-07
275,-2.6,36.0,4.2843102560389494e-07
276,-2.6,38.0,4.2843102560389494e-07
277,-2.6,41.0,4.2843102560389494e-07
278,-2.5,1.0,6.76921020454154e-05
279,-2.5,2.0,9.725384281208416e-05
280,-2.5,3.0,2.3992137433818117e-05
281,-2.5,4.0,3.855879230435055e-06
282,-2.5,5.0,3.4274482048311595e-06
283,-2.5,6.0,5.998034358454529e-06
284,-2.5,7.0,2.9990171792272646e-06
285,-2.5,14.0,4.2843102560389494e-07
286,-2.5,19.0,4.2843102560389494e-07
287,-2.5,21.0,4.2843102560389494e-07
288,-2.5,22.0,4.2843102560389494e-07
289,-2.5,24.0,8.568620512077899e-07
290,-2.5,27.0,4.2843102560389494e-07
291,-2.5,28.0,8.568620512077899e-07
292,-2.5,29.0,8.568620512077899e-07
293,-2.5,30.0,4.2843102560389494e-07
294,-2.5,37.0,4.2843102560389494e-07
295,-2.5,45.0,4.2843102560389494e-07
296,-2.5,48.0,4.2843102560389494e-07
297,-2.5,51.0,4.2843102560389494e-07
298,-2.4,1.0,7.497542948068162e-05
299,-2.4,2.0,0.0001268155835787529
300,-2.4,3.0,1.5851947947344113e-05
301,-2.4,4.0,3.855879230435055e-06
302,-2.4,5.0,5.998034358454529e-06
303,-2.4,6.0,1.1139206665701269e-05
304,-2.4,7.0,3.4274482048311595e-06
305,-2.4,9.0,4.2843102560389494e-07
306,-2.4,10.0,4.2843102560389494e-07
307,-2.4,15.0,4.2843102560389494e-07
308,-2.4,16.0,4.2843102560389494e-07
309,-2.4,17.0,4.2843102560389494e-07
310,-2.4,18.0,8.568620512077899e-07
311,-2.4,19.0,4.2843102560389494e-07
312,-2.4,22.0,4.2843102560389494e-07
313,-2.4,23.0,4.2843102560389494e-07
314,-2.4,24.0,4.2843102560389494e-07
315,-2.4,25.0,1.7137241024155797e-06
316,-2.4,26.0,4.2843102560389494e-07
317,-2.4,28.0,8.568620512077899e-07
318,-2.4,29.0,8.568620512077899e-07
319,-2.4,30.0,4.2843102560389494e-07
320,-2.4,32.0,8.568620512077899e-07
321,-2.4,33.0,8.568620512077899e-07
322,-2.4,39.0,4.2843102560389494e-07
323,-2.4,40.0,8.568620512077899e-07
324,-2.4,41.0,4.2843102560389494e-07
325,-2.4,42.0,4.2843102560389494e-07
326,-2.4,45.0,4.2843102560389494e-07
327,-2.3,1.0,6.040877461014919e-05
328,-2.3,2.0,8.911365332561015e-05
329,-2.3,3.0,2.2278413331402537e-05
330,-2.3,4.0,3.855879230435055e-06
331,-2.3,5.0,7.283327435266214e-06
332,-2.3,6.0,1.0282344614493479e-05
333,-2.3,7.0,4.28431025603895e-06
334,-2.3,17.0,4.2843102560389494e-07
335,-2.3,18.0,8.568620512077899e-07
336,-2.3,19.0,4.2843102560389494e-07
337,-2.3,20.0,8.568620512077899e-07
338,-2.3,21.0,1.2852930768116849e-06
339,-2.3,22.0,2.5705861536233697e-06
340,-2.3,24.0,1.2852930768116849e-06
341,-2.3,25.0,4.2843102560389494e-07
342,-2.3,26.0,1.2852930768116849e-06
343,-2.3,27.0,4.2843102560389494e-07
344,-2.3,28.0,1.2852930768116849e-06
345,-2.3,29.0,4.2843102560389494e-07
346,-2.3,31.0,1.7137241024155797e-06
347,-2.3,32.0,4.2843102560389494e-07
348,-2.3,33.0,8.568620512077899e-07
349,-2.3,35.0,8.568620512077899e-07
350,-2.3,36.0,4.2843102560389494e-07
351,-2.3,37.0,4.2843102560389494e-07
352,-2.3,43.0,4.2843102560389494e-07
353,-2.3,45.0,4.2843102560389494e-07
354,-2.3,48.0,4.2843102560389494e-07
355,-2.2,1.0,7.925973973672056e-05
356,-2.2,2.0,0.0001448096866541165
357,-2.2,3.0,2.3563706408214223e-05
358,-2.2,4.0,4.28431025603895e-06
359,-2.2,5.0,3.855879230435055e-06
360,-2.2,6.0,1.1139206665701269e-05
361,-2.2,7.0,3.855879230435055e-06
362,-2.2,8.0,4.2843102560389494e-07
363,-2.2,16.0,4.2843102560389494e-07
